iter	Passed	Remaining
0	1	194
1	3	181
2	5	179
3	6	163
4	8	163
5	10	164
6	12	161
7	13	160
8	15	157
9	17	155
10	18	152
11	20	150
12	22	149
13	24	148
14	25	147
15	27	144
16	29	142
17	30	140
18	32	138
19	34	137
20	36	135
21	37	133
22	39	131
23	41	129
24	42	128
25	44	126
26	45	124
27	47	122
28	49	120
29	51	119
30	53	117
31	54	116
32	56	114
33	57	112
34	59	109
35	60	107
36	62	106
37	63	104
38	65	102
39	66	100
40	68	99
41	69	95
42	70	94
43	72	92
44	74	90
45	75	88
46	77	86
47	78	85
48	80	83
49	81	81
50	83	80
51	85	78
52	86	76
53	88	74
54	88	72
55	90	71
56	91	69
57	93	67
58	94	66
59	96	64
60	98	62
61	99	61
62	101	59
63	103	57
64	104	56
65	106	54
66	107	52
67	109	51
68	110	49
69	112	48
70	113	46
71	115	44
72	117	43
73	118	41
74	119	39
75	121	38
76	122	36
77	124	35
78	126	33
79	127	31
80	129	30
81	130	28
82	132	27
83	134	25
84	135	23
85	137	22
86	138	20
87	140	19
88	141	17
89	143	15
90	144	14
91	146	12
92	148	11
93	149	9
94	151	7
95	152	6
96	154	4
97	155	3
98	157	1
99	158	0
